price,mantage,metrage,sal,otag,tabage,vshed_status,lat,long,tehdad_vahed,asansor,parking,anbari
12000000000,hashemi,100,1403.0,2.0,۲ از ۵,بازسازی نشده,35.683946650621,51.355034166672,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
11980000256,west-shahrak-e-golestan,90,1390.0,2.0,۶,بازسازی نشده,35.754456999526,51.216160136486,,آسانسور دارد,پارگینگ دارد,انباری دارد
3300000000,dolatkhah,70,1398.0,2.0,۳,بازسازی نشده,35.616347232565,51.342367306228,,آسانسور دارد,پارگینگ دارد,انباری دارد
52999999488,qeytariyeh,160,1397.0,3.0,۱ از ۶,بازسازی نشده,35.791799304881,51.451196004359,4.0,آسانسور دارد,پارگینگ دارد,انباری دارد
11000000512,south-janat-abad,75,1381.0,2.0,۱ از ۴,بازسازی شده,35.74289923833,51.303797660181,2.0,آسانسور ندارد,پارگینگ ندارد,انباری دارد
12999999488,west-shahrak-e-golestan,105,1384.0,2.0,۱ از ۸,بازسازی شده,35.7472300336,51.232101859059,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
4400000000,jey,58,1384.0,1.0,همکف,بازسازی نشده,35.680129179672,51.360326827845,,آسانسور ندارد,پارگینگ ندارد,انباری دارد
23100000256,aboozar,113,1388.0,3.0,۳ از ۵,بازسازی شده,35.734858220113,51.326857312303,3.0,آسانسور دارد,پارگینگ دارد,انباری دارد
27599998976,north-janat-abad,120,1404.0,2.0,۴,بازسازی نشده,35.771138438083,51.304172693142,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
8849999872,beryanak,75,1399.0,2.0,۱,بازسازی نشده,35.671060050515,51.376056359712,,آسانسور دارد,پارگینگ ندارد,انباری دارد
2280000000,west-shahrak-e-golestan,76,1404.0,2.0,بالاتر از ۳۰ از ۱۱,بازسازی نشده,35.753683380085,51.214337499138,,آسانسور دارد,پارگینگ دارد,انباری دارد
25999998976,parvaz,110,1395.0,3.0,۱۰ از ۱۱,بازسازی شده,35.790454448401,51.360821007426,,آسانسور دارد,پارگینگ دارد,انباری دارد
14300000256,kuhak,95,1399.0,2.0,۱۰,بازسازی شده,35.731945561816,51.24808823428,,آسانسور دارد,پارگینگ دارد,انباری دارد
8400000000,minay-shomali-mokhber,60,1404.0,1.0,۱ از ۶,بازسازی نشده,35.67476444645,51.451694808568,,آسانسور دارد,پارگینگ ندارد,انباری ندارد
26499999744,eram,125,1396.0,3.0,۲,بازسازی نشده,35.731716727324,51.293118715094,,آسانسور دارد,پارگینگ دارد,انباری دارد
35000000512,shams-abad,150,1404.0,3.0,۳ از ۵,بازسازی نشده,35.758094294998,51.480711378364,1.0,آسانسور دارد,پارگینگ دارد,انباری دارد
10599999488,jeyhoun,86,1397.0,2.0,۳ از ۵,بازسازی نشده,35.689630466716,51.364098385559,2.0,آسانسور دارد,پارگینگ دارد,انباری دارد
14800000000,shahr-e-ziba,80,1403.0,2.0,۴,بازسازی نشده,35.744294302146,51.295620611767,,آسانسور دارد,پارگینگ دارد,انباری دارد
